               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.093971,             0.06336,            0.022324,             0.06602,             0.11111,            0.034624,           0.0064981,            0.096914,            0.056707,            0.021431,            0.034687,           0.0066868,           0.0066868
                  72,            0.093971,             0.06336,            0.022324,             0.06602,             0.11111,            0.034624,           0.0064981,            0.096914,            0.056707,            0.021431,            0.034687,           0.0066868,           0.0066868
                  73,            0.093708,            0.059055,            0.024638,            0.063959,             0.11111,            0.035116,            0.006752,            0.096914,            0.056707,            0.021431,            0.033772,           0.0067724,           0.0067724
                  73,            0.093708,            0.059055,            0.024638,            0.063959,             0.11111,            0.035116,            0.006752,            0.096914,            0.056707,            0.021431,            0.033772,           0.0067724,           0.0067724
                  74,            0.094139,            0.066363,            0.027695,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.032858,           0.0068579,           0.0068579
                  74,            0.094139,            0.066363,            0.027695,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.032858,           0.0068579,           0.0068579
                  75,            0.095057,            0.052993,            0.023194,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.031943,           0.0069431,           0.0069431
                  75,            0.095057,            0.052993,            0.023194,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.031943,           0.0069431,           0.0069431
                  76,            0.095283,            0.050296,            0.023183,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.031028,           0.0070282,           0.0070282
                  76,            0.095283,            0.050296,            0.023183,            0.059941,             0.11111,            0.075452,             0.01338,            0.094653,            0.057952,            0.020867,            0.031028,           0.0070282,           0.0070282
                  77,            0.098361,            0.064479,            0.022429,             0.58495,             0.11111,             0.10322,            0.042112,            0.093318,            0.057611,             0.02001,            0.030113,            0.007113,            0.007113
                  77,            0.098361,            0.064479,            0.022429,             0.58495,             0.11111,             0.10322,            0.042112,            0.093318,            0.057611,             0.02001,            0.030113,            0.007113,            0.007113
                  78,            0.096058,             0.05669,            0.023269,             0.58495,             0.11111,             0.10322,            0.042112,            0.093318,            0.057611,             0.02001,            0.029198,           0.0071977,           0.0071977
                  78,            0.096058,             0.05669,            0.023269,             0.58495,             0.11111,             0.10322,            0.042112,            0.093318,            0.057611,             0.02001,            0.029198,           0.0071977,           0.0071977
                  79,             0.10043,            0.081614,            0.024015,             0.58495,             0.11111,             0.10357,            0.042293,            0.093318,            0.057611,             0.02001,            0.028282,           0.0072821,           0.0072821
                  79,             0.10043,            0.081614,            0.024015,             0.58495,             0.11111,             0.10357,            0.042293,            0.093318,            0.057611,             0.02001,            0.028282,           0.0072821,           0.0072821
                  80,             0.10042,            0.072974,             0.02249,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,            0.027366,           0.0073664,           0.0073664
                  80,             0.10042,            0.072974,             0.02249,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,            0.027366,           0.0073664,           0.0073664
                  81,            0.092307,            0.054086,            0.022732,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,             0.02645,           0.0074505,           0.0074505
                  81,            0.092307,            0.054086,            0.022732,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,             0.02645,           0.0074505,           0.0074505
                  82,            0.092398,            0.047195,            0.021562,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,            0.025534,           0.0075343,           0.0075343
                  82,            0.092398,            0.047195,            0.021562,             0.67651,             0.16667,             0.14756,            0.022683,             0.09348,            0.056219,            0.019473,            0.025534,           0.0075343,           0.0075343
                  83,            0.086742,             0.05442,            0.022248,             0.54485,             0.11111,            0.051135,            0.017155,            0.091902,             0.05689,            0.018546,            0.024618,            0.007618,            0.007618
                  83,            0.086742,             0.05442,            0.022248,             0.54485,             0.11111,            0.051135,            0.017155,            0.091902,             0.05689,            0.018546,            0.024618,            0.007618,            0.007618
